"Codice_Prodotto";"Codice_EAN";"Quantita_Disponibile";"Quantita_in_Arrivo";"Data_Arrivo";"Codice_Fornitore";"Codice_Cliente"
"6229834332";"8020252209886";"0";"0";"";"";""
"6229834331";"8020252209794";"0";"0";"";"";""
"6229834330";"8020252209763";"0";"0";"";"";""
"6229834329";"8020252209732";"0";"0";"";"";""
"6229834328";"8020252209671";"0";"0";"";"";""
"6229834327";"8020252209640";"0";"0";"";"";""
"6229834326";"8020252209619";"0";"0";"";"";""
"6229834325";"8020252209558";"0";"0";"";"";""
"6229834324";"8020252209527";"0";"0";"";"";""
"6229834323";"8020252209497";"0";"0";"";"";""
"6229834322";"8020252209466";"0";"0";"";"";""
"6229834321";"8020252209435";"0";"0";"";"";""
"6229834320";"8020252209206";"0";"0";"";"";""
"6237834439";"8020252178366";"0";"0";"";"";""
"6237834438";"8020252192737";"0";"0";"";"";""
"6237834436";"8020252181175";"0";"0";"";"";""
"6237834435";"8020252177864";"33";"0";"";"";""
"6237834432";"8020252176034";"0";"0";"";"";""
"6237834431";"8020252176003";"0";"0";"";"";""
"6237834430";"8020252175495";"0";"0";"";"";""
"6237834429";"8020252176249";"0";"0";"";"";""
"6237834428";"8020252172784";"0";"0";"";"";""
"6237834427";"8020252172814";"0";"0";"";"";""
"6237834426";"8020252172173";"0";"0";"";"";""
"6237834425";"8020252172142";"0";"0";"";"";""
"6237834424";"8020252172111";"0";"0";"";"";""
"6237834423";"8020252171992";"0";"0";"";"";""
"6237834421";"8020252172029";"0";"0";"";"";""
"6237834420";"8020252172906";"0";"0";"";"";""
"6237834419";"8020252172630";"0";"0";"";"";""
"6237834418";"8020252172609";"0";"0";"";"";""
"6237834417";"8020252172579";"0";"0";"";"";""
"6237834397";"8020252166639";"0";"0";"";"";""
"6237834396";"8020252166608";"0";"0";"";"";""
"6237834395";"8020252166578";"0";"0";"";"";""
"6237834394";"8020252166547";"0";"0";"";"";""
"6237834393";"8020252166516";"0";"0";"";"";""
"6237834392";"8020252166486";"0";"0";"";"";""
"6237834391";"8020252166455";"0";"0";"";"";""
"6237834390";"8020252165809";"0";"0";"";"";""
"6237834389";"8020252162549";"0";"0";"";"";""
"6237834388";"8020252162525";"0";"0";"";"";""
"6237834387";"8020252162501";"0";"0";"";"";""
"6237834386";"8020252117648";"0";"0";"";"";""
"6237834385";"8020252116955";"0";"0";"";"";""
"6237834384";"8020252116320";"0";"0";"";"";""
"6237834383";"8020252164918";"0";"0";"";"";""
"6237834382";"8020252164888";"0";"0";"";"";""
"6237834381";"8020252164857";"0";"0";"";"";""
"6237834380";"8020252164826";"0";"0";"";"";""
"6237834379";"8020252164673";"0";"0";"";"";""
"6237834354";"8020252115798";"0";"0";"";"";""
"6237834353";"8020252116566";"0";"0";"";"";""
"6237834352";"8020252116269";"0";"0";"";"";""
"6237834351";"8020252116238";"0";"0";"";"";""
"6237834350";"8020252116207";"0";"0";"";"";""
"6237834349";"8020252111905";"0";"0";"";"";""
"6237834348";"8020252111929";"0";"0";"";"";""
"6237834347";"8020252111738";"0";"0";"";"";""
"6237834346";"8020252114074";"0";"0";"";"";""
"6237834345";"8020252112636";"0";"0";"";"";""
"6237834344";"8020252112605";"0";"0";"";"";""
"6237834343";"8020252110793";"0";"0";"";"";""
"6237834342";"8020252110878";"0";"0";"";"";""
"6237834341";"8020252110892";"0";"0";"";"";""
"6237834340";"8020252110816";"0";"0";"";"";""
"6237834339";"8020252110830";"0";"0";"";"";""
"6237834338";"8020252111059";"0";"0";"";"";""
"6237834334";"8020252111547";"0";"0";"";"";""
"6237834378";"8020252164642";"0";"0";"";"";""
"6237834377";"8020252164611";"0";"0";"";"";""
"6237834376";"8020252164581";"0";"0";"";"";""
"6237834375";"8020252164550";"0";"0";"";"";""
"6237834374";"8020252164529";"0";"0";"";"";""
"6237834373";"8020252162174";"0";"0";"";"";""
"6237834372";"8020252161955";"0";"0";"";"";""
"6237834370";"8020252119437";"0";"0";"";"";""
"6237834369";"8020252119406";"0";"0";"";"";""
"6237834368";"8020252119376";"0";"0";"";"";""
"6237834367";"8020252161924";"0";"0";"";"";""
"6237834366";"8020252119482";"0";"0";"";"";""
"6237834365";"8020252118492";"0";"0";"";"";""
"6237834364";"8020252118942";"0";"0";"";"";""
"6237834363";"8020252118829";"0";"0";"";"";""
"6237834362";"8020252115736";"0";"0";"";"";""
"6237834361";"8020252115729";"0";"0";"";"";""
"6237834360";"8020252115712";"0";"0";"";"";""
"6237834359";"8020252111219";"0";"0";"";"";""
"6229834241";"8020252174559";"0";"0";"";"";""
"6229834240";"8020252173705";"0";"0";"";"";""
"6229834239";"8020252173682";"0";"0";"";"";""
"6229834238";"8020252173668";"0";"0";"";"";""
"6229834237";"8020252173644";"0";"0";"";"";""
"6229834236";"8020252173262";"0";"0";"";"";""
"6229834235";"8020252173231";"0";"0";"";"";""
"6229834234";"8020252179707";"0";"0";"";"";""
"6229834233";"8020252176768";"0";"0";"";"";""
"6229834232";"8020252175389";"0";"0";"";"";""
"6229834231";"8020252175358";"0";"0";"";"";""
"6229834230";"8020252174870";"0";"0";"";"";""
"6229834229";"8020252174962";"0";"0";"";"";""
"6229834228";"8020252174931";"0";"0";"";"";""
"6229834168";"8020252075177";"0";"0";"";"";""
"6229834167";"8020252075320";"0";"0";"";"";""
"6229834166";"8020252075146";"0";"0";"";"";""
"6226834006";"8020252170230";"0";"0";"";"";""
"6226834005";"8020252170261";"0";"0";"";"";""
"6237834265";"8020252083073";"0";"0";"";"";""
"6237834221";"8020252054219";"0";"0";"";"";""
"6237834220";"8020252054202";"0";"0";"";"";""
"6231834018";"8020252165519";"0";"0";"";"";""
"6231834017";"8020252165489";"0";"0";"";"";""
"6231834016";"8020252165458";"0";"0";"";"";""
"6231834015";"8020252165427";"0";"0";"";"";""
"6231834014";"8020252165397";"0";"0";"";"";""
"6231834013";"8020252165366";"0";"0";"";"";""
"6231834012";"8020252165335";"0";"0";"";"";""
"6231834011";"8020252165304";"0";"0";"";"";""
"6231834010";"8020252165274";"0";"0";"";"";""
"6231834009";"8020252165243";"0";"0";"";"";""
"6231834008";"8020252165212";"0";"0";"";"";""
"6231834007";"8020252165182";"0";"0";"";"";""
"6231834006";"8020252164208";"0";"0";"";"";""
"6231834005";"8020252164147";"0";"0";"";"";""
"6231834004";"8020252164116";"0";"0";"";"";""
"6231834003";"8020252164024";"0";"0";"";"";""
"6231834002";"8020252163997";"0";"0";"";"";""
"6229834260";"8020252185340";"0";"0";"";"";""
"6229834259";"8020252185319";"0";"0";"";"";""
"6229834258";"8020252177109";"0";"0";"";"";""
"6229834257";"8020252177079";"0";"0";"";"";""
"6229834256";"8020252176782";"0";"0";"";"";""
"6229834255";"8020252175174";"0";"0";"";"";""
"6229834254";"8020252175150";"0";"0";"";"";""
"6229834253";"8020252180079";"0";"0";"";"";""
"6229834252";"8020252179769";"0";"0";"";"";""
"4277900042";"4024862131555";"14";"0";"";"";""
"1202799009";"4048164114443";"74";"0";"";"";""
"1202799007";"6944271650462";"41";"60";"";"";""
"1202799002";"6944271649794";"88";"0";"";"";""
"1202799001";"6944271668320";"71";"0";"";"";""
"9616789119";"3800157656115";"30";"0";"";"";""
