Codice_Prodotto;Codice_EAN;Prezzo_Acquisto;Prezzo_Vendita;Prezzo_Listino;Spese_Consegna;Spese_Consegna_Incluse;Attivo;Codice_Fornitore;Codice_Cliente;Descrizione_Breve;Descrizione_Estesa;Data_Lancio;Classificazione;Descrizione_Classificazione;Codice_Marchio;Descrizione_Marchio;Iva;Note;Link_Scheda_Energetica;Link_Video;Data_Fuori_Produzione;Raee;Raee Annegata;Siae;Siae Annegata
"9033318114";"8806095613895";"37.30";"54.90";"54.90";"0";"0";"1";"";"";"CUSTODIA B6 FLIPSUIT NEON CARD TRANSPARE";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318113";"8806095613888";"33.90";"49.90";"49.90";"0";"0";"1";"";"";"CUSTODIA B6 CLEAR WITH RING TRANSPARENT";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318108";"8018080484162";"12.50";"22.95";"22.95";"0";"0";"1";"";"";"CUSTODIA IMPACT CLEAR GAL Z FOLD6 TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318107";"8018080484155";"12.50";"22.95";"22.95";"0";"0";"1";"";"";"CUSTODIA IMPACT CLEAR GAL Z FLIP6 TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318106";"8018080483837";"8.15";"14.95";"14.95";"0";"0";"1";"";"";"CUSTODIA MOOD HONOR 200 LITE NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318090";"8018080483462";"13.55";"24.95";"24.95";"0";"0";"1";"";"";"CUSTODIA ICONIC MAG IPHONE 16 PRO BLU";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318082";"8018080483370";"13.55";"24.95";"24.95";"0";"0";"1";"";"";"CUSTODIA ICONIC MAG IPHONE 16 BLU";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9009265002";"8051407942457";"23.50";"29.90";"29.90";"0";"0";"1";"";"";"FITNESS BAND  FT1000";"";"";"0703";"ALTRI APPARATI";"NTL";"Nital";"22";"";"";"";"";"0";"0";"0";"0"
"9009265001";"8051407947643";"27.40";"39.90";"39.90";"0";"0";"1";"";"";"FITNESS BAND SW950";"";"";"0703";"ALTRI APPARATI";"NTL";"Nital";"22";"";"";"";"";"0";"0";"0";"0"
"5416265001";"0698813007820";"183.40";"249.00";"249.00";"0";"0";"1";"";"";"MICROFONO RODE WIRELESS GO II SINGLE";"";"";"0107";"ACCESSORI";"NTL";"Nital";"22";"";"";"";"";"0";"0";"0";"0"
"1704618001";"6970019145266";"395.65";"579.00";"579.00";"0";"0";"1";"";"";"SCOPA EL. CORDLESS DISPLAY OLED    SPAZ IDROF BLU";"";"";"0403";"CASA";"ROD";"ROIDMI";"22";"";"";"";"";"0";"0";"0";"0"
"6206127306";"0198415421029";"626.50";"799.90";"799.90";"0";"0";"1";"";"";"N.BOOK PAVILION 16""FHD R5-8540U RAM 16GB SSD512GB";"";"";"0601";"HARDWARE";"HPC";"HP 2";"22";"";"";"";"";"0";"0";"0";"0"
"6206127305";"0198415421104";"626.50";"799.90";"799.90";"0";"0";"1";"";"";"N.BOOK R7-7730U RAM 16GB SSD 512GB 15,6"" FHDAMD R";"";"";"0601";"HARDWARE";"HPC";"HP 2";"22";"";"";"";"";"0";"0";"0";"0"
"6206127296";"0198122154449";"930.00";"1199.00";"1199.00";"0";"0";"1";"";"";"N.BOOK GAME I5-12500H RAM16GB SSD512GB 15.6? FHDI";"";"";"0601";"HARDWARE";"HPC";"HP 2";"22";"";"";"";"";"0";"0";"0";"0"
"1410201003";"0073950204170";"59.30";"99.90";"99.90";"0";"0";"1";"";"";"IDROPULSORE EXPRESS SENZA FILI (WATERPROOF, A BAT";"";"";"0401";"CURA PERSONA";"WAT";"WATERPIK";"22";"";"";"";"";"0";"0";"0";"0"
"1820350100";"8007403260316";"71.15";"109.99";"109.99";"0";"0";"1";"";"";"PLAID RISC. ADAPTO 6T VELVET TARTAN GREY160X120CM";"";"";"0503";"RISCALDAMENTO";"IME";"IMETEC";"22";"";"";"";"";"0";"0";"0";"0"
"1820350097";"8007403169367";"77.60";"119.99";"119.99";"0";"0";"1";"";"";"PLAID RISCALDABILE ADAPTO ELEGANCE 180X140 6T";"";"";"0503";"RISCALDAMENTO";"IME";"IMETEC";"22";"";"";"";"";"0";"0";"0";"0"
"1820350096";"8007403169633";"45.30";"69.99";"69.99";"0";"0";"1";"";"";"TERMOFORO INTELLISENSE LUMBAR 61X38 5T";"";"";"0503";"RISCALDAMENTO";"IME";"IMETEC";"22";"";"";"";"";"0";"0";"0";"0"
"1820350091";"8007403167837";"35.60";"54.99";"54.99";"0";"0";"1";"";"";"TERMOFORO RETTANGOLARE CON TASCA 5T 35X4";"";"";"0503";"RISCALDAMENTO";"IME";"IMETEC";"22";"";"";"";"";"0";"0";"0";"0"
"1812350031";"8007403040307";"58.20";"89.99";"89.99";"0";"0";"1";"";"";"TERMOVENT. SILENT POWER ECO";"";"";"0503";"RISCALDAMENTO";"IME";"IMETEC";"22";"";"";"";"";"0";"0";"0";"0"
"1602350048";"8007403090173";"42.25";"64.99";"64.99";"0";"0";"1";"";"";"FERRO DA STIRO ECOPERFECT 9017";"";"";"0403";"CASA";"IME";"IMETEC";"22";"";"";"";"";"0";"0";"0";"0"
"1420350164";"8007403118563";"50.20";"79.99";"79.99";"0";"0";"1";"";"";"ARRICCIACAPELLI BELLISSIMA         GLAM WAVES";"";"";"0401";"CURA PERSONA";"IME";"IMETEC";"22";"";"";"";"";"0";"0";"0";"0"
"1420350163";"8007403118785";"45.30";"69.90";"69.90";"0";"0";"1";"";"";"PIASTRA BELLISSIMA XL ION";"";"";"0401";"CURA PERSONA";"IME";"IMETEC";"22";"";"";"";"";"0";"0";"0";"0"
